champion,picks,bans,total_games,wins,winrate
Aatrox,23,6,29,9.38,40.76
Ahri,23,16,39,13.79,59.96
Akali,25,66,91,13.62,54.5
Akshan,0,0,0,0.0,0.0
Alistar,70,41,111,34.67,49.52
Ambessa,58,68,126,29.17,50.29
Amumu,0,0,0,0.0,0.0
Anivia,14,8,22,5.67,40.48
Annie,0,0,0,0.0,0.0
Aphelios,47,45,92,21.12,44.95
Ashe,13,10,23,5.88,45.19
Aurelion Sol,3,0,3,1.0,33.33
Aurora,31,21,52,15.38,49.6
Azir,89,53,142,45.92,51.59
Bard,45,58,103,29.96,66.57
BelVeth,0,0,0,0.0,0.0
Blitzcrank,3,2,5,1.0,33.33
Brand,0,0,0,0.0,0.0
Braum,30,16,46,12.12,40.42
Briar,0,0,0,0.0,0.0
Caitlyn,10,9,19,5.0,50.0
Camille,0,0,0,0.0,0.0
Cassiopeia,14,18,32,5.71,40.77
Cho'Gath,0,0,0,0.0,0.0
Chogath,1,1,2,0.0,0.0
Corki,62,20,82,25.12,40.52
Darius,0,0,0,0.0,0.0
Diana,1,0,1,0.0,0.0
Dr. Mundo,25,13,38,13.88,55.5
Draven,3,0,3,2.0,66.67
Ekko,3,0,3,1.0,33.33
Elise,5,2,7,3.0,60.0
Evelynn,0,0,0,0.0,0.0
Ezreal,30,18,48,15.62,52.08
Fiddlesticks,0,0,0,0.0,0.0
Fiora,0,0,0,0.0,0.0
Fizz,0,0,0,0.0,0.0
Galio,14,7,21,7.0,50.0
Gangplank,0,1,1,0.0,0.0
Garen,0,0,0,0.0,0.0
Gnar,35,29,64,19.71,56.31
Gragas,4,0,4,1.0,25.0
Graves,0,0,0,0.0,0.0
Gwen,20,36,56,9.67,48.33
Hecarim,1,0,1,0.0,0.0
Heimerdinger,0,0,0,0.0,0.0
Hwei,1,0,1,1.0,100.0
Illaoi,0,0,0,0.0,0.0
Irelia,0,4,4,0.0,0.0
Ivern,0,0,0,0.0,0.0
Janna,0,0,0,0.0,0.0
Jarvan IV,67,74,141,37.79,56.41
Jax,13,19,32,9.0,69.23
Jayce,16,212,228,9.67,60.42
Jhin,31,10,41,11.29,36.42
Jinx,6,1,7,2.0,33.33
K'Sante,75,24,99,30.79,41.06
Kai'Sa,0,0,0,0.0,0.0
Kaisa,34,28,62,21.29,62.62
Kalista,11,4,15,6.0,54.55
Karma,18,29,47,7.58,42.13
Karthus,0,0,0,0.0,0.0
Kassadin,0,0,0,0.0,0.0
Katarina,0,0,0,0.0,0.0
Kayle,0,0,0,0.0,0.0
Kayn,0,0,0,0.0,0.0
Kennen,10,8,18,8.0,80.0
Kha'Zix,0,0,0,0.0,0.0
Kindred,0,0,0,0.0,0.0
Kled,4,1,5,2.0,50.0
Kog'Maw,0,0,0,0.0,0.0
LeBlanc,4,20,24,3.0,75.0
Lee Sin,3,2,5,2.0,66.67
Leona,24,10,34,8.67,36.11
Lillia,1,0,1,1.0,100.0
Lissandra,1,0,1,1.0,100.0
Lucian,19,20,39,5.5,28.95
Lulu,35,29,64,17.5,50.0
Lux,0,0,0,0.0,0.0
Malphite,21,149,170,7.83,37.3
Malzahar,2,1,3,2.0,100.0
Maokai,0,0,0,0.0,0.0
Master Yi,0,0,0,0.0,0.0
Mel,1,1,2,0.0,0.0
Milio,2,0,2,1.0,50.0
Miss Fortune,30,24,54,13.5,45.0
Mordekaiser,2,0,2,0.0,0.0
