champion,pro_meta_score
Aatrox,0.0
Ahri,1.0
Akali,1.0
Akshan,0.0
Alistar,0.6306666666666668
Ambessa,0.9628069105691057
Amumu,0.0
Anivia,0.0
Annie,0.0
Aphelios,0.3323170731707317
Ashe,0.01424999999999983
AurelionSol,0.0
Aurora,0.43341463414634157
Azir,0.9078678861788622
Bard,1.0
BelVeth,0.0
Blitzcrank,0.0
Brand,0.0
Braum,0.03760162601626018
Briar,0.0
Caitlyn,0.375
Camille,0.0
Cassiopeia,0.057926829268292665
ChoGath,0.0
Chogath,0.0
Corki,0.07825203252032517
Darius,0.0
Diana,0.0
Dr.Mundo,0.7946138211382114
Draven,0.0
Ekko,0.0
Elise,1.0
Evelynn,0.0
Ezreal,0.5889268292682925
Fiddlesticks,0.0
Fiora,0.0
Fizz,0.0
Galio,0.375
Gangplank,0.0
Garen,0.0
Gnar,1.0
Gragas,0.0
Graves,0.0
Gwen,0.4906036585365852
Hecarim,0.0
Heimerdinger,0.0
Hwei,0.0
Illaoi,0.0
Irelia,0.0
Ivern,0.0
Janna,0.0
JarvanIV,1.0
Jax,1.0
Jayce,1.0
Jhin,0.0
Jinx,0.0
KSante,0.11890243902439024
KaiSa,0.0
Kaisa,1.0
Kalista,0.7162499999999998
Karma,0.16971544715447157
Karthus,0.0
Kassadin,0.0
Katarina,0.0
Kayle,0.0
Kayn,0.0
Kennen,1.0
KhaZix,0.0
Kindred,0.0
Kled,0.375
KogMaw,0.0
LeBlanc,1.0
LeeSin,1.0
Leona,0.0
Lillia,0.0
Lissandra,0.0
Lucian,0.07825203252032517
Lulu,0.5447154471544715
Lux,0.0
Malphite,1.0
Malzahar,0.0
Maokai,0.0
MasterYi,0.0
Mel,0.0
Milio,0.0
MissFortune,0.11890243902439024
Mordekaiser,0.0
Morgana,0.0
Naafiri,0.0
Nami,0.0
Nasus,0.0
Nautilus,0.47459349593495936
Neeko,1.0
Nidalee,0.0
Nilah,0.0
Nocturne,0.7430528455284554
NunuWillump,0.0
Olaf,0.0
Orianna,1.0
Ornn,1.0
Pantheon,0.44650406504065054
Poppy,1.0
Pyke,0.0
Qiyana,0.08841463414634147
Quinn,0.0
Rakan,1.0
Rammus,0.0
RekSai,0.4432499999999997
Rell,0.0
RenataGlasc,0.08324999999999996
Renekton,0.1798780487804878
Rengar,0.0
Riven,0.0
Rumble,1.0
Ryze,0.8400650406504063
Samira,0.0
Sejuani,0.0
Senna,0.0
Seraphine,1.0
Sett,0.0
Shaco,0.0
Shen,0.0
Shyvana,0.0
Singed,0.0
Sion,0.7157154471544716
Sivir,1.0
Skarner,0.0
Smolder,0.0
Sona,0.0
Soraka,0.0
Swain,0.0
Sylas,1.0
Syndra,0.0
TahmKench,0.0
Taliyah,0.06808943089430894
Talon,0.0
Taric,0.0
Teemo,0.0
Thresh,1.0
Tristana,0.0
Trundle,0.0
Tryndamere,0.0
TwistedFate,0.0
Twitch,0.0
Udyr,0.0
Urgot,0.0
Varus,1.0
Vayne,0.0
Veigar,0.0
VelKoz,0.0
Vex,0.0
Vi,0.42479268292682937
Viego,0.0
Viktor,0.0
Vladimir,0.0
Volibear,0.375
Warwick,0.0
Wukong,0.1798780487804878
Xayah,1.0
Xerath,0.0
XinZhao,0.6291646341463415
Yasuo,0.0
Yone,0.01424999999999983
Yorick,0.375
Yunara,0.930668699186992
Yuumi,0.0
Zaahen,0.2190000000000001
Zac,0.0
Zed,0.0
Zeri,0.375
Ziggs,0.007113821138211396
Zilean,0.0
Zoe,1.0
Zyra,0.0
