champion,role,meta_score
Rengar,TOP,0.6629999999999997
Anivia,TOP,0.7297500000000003
Sylas,TOP,0.8527499999999995
Olaf,TOP,0.6112499999999998
Kennen,TOP,0.6015000000000001
Riven,TOP,0.6910000000000005
Gangplank,TOP,0.5482500000000001
Fiora,TOP,0.6802499999999994
Varus,TOP,1.0
Zed,TOP,0.7887500000000005
Quinn,TOP,0.5204999999999997
Udyr,TOP,0.4160000000000003
Rek'Sai,TOP,0.11224999999999985
Kayle,TOP,0.5085000000000002
Cassiopeia,TOP,0.4994999999999998
Shen,TOP,0.4837500000000008
Urgot,TOP,0.47850000000000015
Gwen,TOP,0.7107500000000001
Rumble,TOP,0.551
Yasuo,TOP,0.7122499999999996
Poppy,TOP,0.49074999999999996
Volibear,TOP,0.44625000000000026
Jayce,TOP,1.0
Sejuani,TOP,0.030500000000000693
Pantheon,TOP,0.4267500000000004
Singed,TOP,0.41850000000000037
Darius,TOP,0.4877500000000005
Zaahen,TOP,0.4287499999999998
Jax,TOP,0.7227500000000004
Aurora,TOP,0.40875000000000017
Tahm Kench,TOP,0.10274999999999918
Warwick,TOP,0.4027499999999993
Cho'Gath,TOP,0.399
Vayne,TOP,0.40124999999999944
Gragas,TOP,0.3907500000000001
Irelia,TOP,0.5717500000000002
Akali,TOP,0.925
Gnar,TOP,0.36975
Swain,TOP,0.3569999999999999
Teemo,TOP,0.35550000000000015
Ambessa,TOP,0.5947500000000001
Naafiri,TOP,0.06474999999999997
Kled,TOP,0.32550000000000023
Aatrox,TOP,0.3227500000000001
Vladimir,TOP,0.3487499999999997
Wukong,TOP,0.0
Ornn,TOP,0.28800000000000026
Illaoi,TOP,0.28800000000000026
Tryndamere,TOP,0.28800000000000026
Nasus,TOP,0.26624999999999976
Mordekaiser,TOP,0.26549999999999996
Renekton,TOP,0.27824999999999983
K'Sante,TOP,0.25875000000000026
Garen,TOP,0.2557499999999997
Heimerdinger,TOP,0.0
Dr. Mundo,TOP,0.2497499999999999
