champion,role,counter_champion,winrate,matches
Aatrox,TOP,Kennen,55.83,206
Aatrox,TOP,Volibear,54.55,187
Aatrox,TOP,Urgot,54.42,226
Aatrox,TOP,Mordekaiser,53.98,176
Aatrox,TOP,Fiora,53.7,324
Aatrox,TOP,Zaahen,53.47,346
Aatrox,TOP,Riven,53.41,249
Aatrox,TOP,Kayle,53.25,154
Aatrox,TOP,Rumble,53.14,303
Aatrox,TOP,Singed,53.1,145
Aatrox,TOP,Poppy,53.03,66
Aatrox,TOP,Malphite,52.4,313
Aatrox,TOP,Ambessa,52.36,403
Aatrox,TOP,Jayce,52.22,270
Aatrox,TOP,Gangplank,51.98,354
Aatrox,TOP,Jax,51.73,375
Aatrox,TOP,Anivia,51.72,58
Aatrox,TOP,Gnar,51.58,190
Aatrox,TOP,Renekton,51.43,453
Aatrox,TOP,Irelia,51.06,329
Ahri,MID,Qiyana,59.0,261
Ahri,MID,Jayce,57.97,69
Ahri,MID,Zoe,56.79,287
Ahri,MID,Cassiopeia,56.45,62
Ahri,MID,Akshan,54.91,224
Ahri,MID,Anivia,54.3,221
Ahri,MID,Zed,53.55,394
Ahri,MID,Vladimir,53.19,141
Ahri,MID,Galio,52.89,346
Ahri,MID,Syndra,52.35,426
Ahri,MID,Fizz,52.07,121
Ahri,MID,Malzahar,51.92,156
Ahri,MID,Veigar,51.16,129
Ahri,MID,Kassadin,50.98,306
Ahri,MID,Katarina,50.98,410
Ahri,MID,Sylas,50.54,742
Ahri,MID,Yasuo,50.29,340
Akali,MID,Jayce,59.49,79
Akali,MID,Swain,58.24,91
Akali,MID,Vex,56.38,188
Akali,MID,Kayle,56.25,80
Akali,MID,Taliyah,55.86,256
Akali,MID,Lissandra,55.71,219
Akali,MID,Qiyana,55.08,374
Akali,MID,Lux,55.04,129
Akali,MID,Hwei,54.61,152
Akali,MID,Aurelion Sol,54.55,132
Akali,MID,Zoe,53.54,353
Akali,MID,Akshan,53.44,320
Akali,MID,Vladimir,53.33,135
Akali,MID,Ahri,53.19,376
Akali,MID,Aurora,53.09,243
Akali,MID,Katarina,52.73,440
Akali,MID,Yasuo,52.63,608
Akali,MID,Galio,52.1,689
Akali,MID,Xerath,51.68,149
Akali,MID,Ekko,51.38,253
Akali,MID,Diana,51.28,156
Akali,MID,Malzahar,51.16,172
Akali,MID,Twisted Fate,51.14,528
Akali,MID,Kassadin,51.03,388
Akali,MID,Ryze,50.86,757
Akali,MID,LeBlanc,50.58,342
Akali,MID,Viktor,50.13,389
Akshan,MID,Veigar,55.26,76
Akshan,MID,Katarina,54.51,233
Akshan,MID,Zoe,53.93,178
Akshan,MID,Aurelion Sol,53.33,75
Akshan,MID,Qiyana,53.22,171
Akshan,MID,Ryze,52.47,385
Akshan,MID,Vex,50.51,99
Akshan,MID,Ekko,50.37,135
Alistar,SUPPORT,Morgana,55.45,110
Alistar,SUPPORT,Leona,52.14,677
Alistar,SUPPORT,Bard,52.1,572
Alistar,SUPPORT,Lulu,51.77,566
Alistar,SUPPORT,Karma,51.54,518
Alistar,SUPPORT,Braum,51.37,983
Alistar,SUPPORT,Neeko,51.35,296
Alistar,SUPPORT,Zilean,51.08,139
Alistar,SUPPORT,Janna,50.63,397
Alistar,SUPPORT,Sona,50.46,327
Alistar,SUPPORT,Poppy,50.41,369
Alistar,SUPPORT,Soraka,50.24,205
Ambessa,TOP,Quinn,67.21,61
Ambessa,TOP,Illaoi,61.33,75
Ambessa,TOP,Warwick,59.43,106
Ambessa,TOP,Singed,58.82,153
Ambessa,TOP,Darius,57.36,265
Ambessa,TOP,Kayle,55.65,124
Ambessa,TOP,Aurora,55.42,83
Ambessa,TOP,Shen,55.26,228
Ambessa,TOP,Irelia,55.25,362
Ambessa,TOP,Gangplank,55.0,360
Ambessa,TOP,Tryndamere,55.0,100
Ambessa,TOP,Riven,53.85,351
Ambessa,TOP,Kennen,53.67,218
Ambessa,TOP,Kled,53.45,116
Ambessa,TOP,Poppy,53.44,131
Ambessa,TOP,Renekton,52.08,35
Ambessa,TOP,Rumble,52.05,390
Ambessa,TOP,Camille,51.5,233
Ambessa,TOP,Jax,51.11,405
Ambessa,TOP,Teemo,50.72,69
Ambessa,TOP,Zaahen,50.72,483
Amumu,JUNGLE,Evelynn,83.33,12
Amumu,JUNGLE,Malphite,83.33,12
Amumu,JUNGLE,Sylas,71.74,46
Amumu,JUNGLE,Nidalee,69.23,13
Amumu,JUNGLE,Dr. Mundo,68.18,22
Amumu,JUNGLE,Naafiri,66.67,12
Amumu,JUNGLE,Shaco,63.64,22
Amumu,JUNGLE,Xin Zhao,63.64,11
Amumu,JUNGLE,Kindred,62.5,16
Amumu,JUNGLE,Rammus,62.5,8
Amumu,JUNGLE,Diana,58.21,67
Amumu,JUNGLE,Zac,57.69,26
Amumu,JUNGLE,Ivern,57.14,14
Amumu,JUNGLE,Udyr,57.14,7
Amumu,JUNGLE,Jarvan IV,56.82,44
Amumu,JUNGLE,Zed,56.67,30
Amumu,JUNGLE,Kha'Zix,56.45,62
