champion,role,duo_champion,duo_role,winrate,matches
Aatrox,TOP,Shaco,JUNGLE,59.46,185
Aatrox,TOP,Zyra,JUNGLE,57.89,76
Aatrox,TOP,Zac,JUNGLE,56.45,186
Aatrox,TOP,Briar,JUNGLE,55.38,65
Aatrox,TOP,Sejuani,JUNGLE,54.55,55
Aatrox,TOP,Nidalee,JUNGLE,54.22,225
Aatrox,TOP,Bel'Veth,JUNGLE,53.61,97
Aatrox,TOP,Warwick,JUNGLE,53.57,56
Aatrox,TOP,Rengar,JUNGLE,53.33,285
Aatrox,TOP,Ivern,JUNGLE,53.13,128
Aatrox,TOP,Diana,JUNGLE,52.55,569
Aatrox,TOP,Kha'Zix,JUNGLE,52.44,450
Aatrox,TOP,Jarvan IV,JUNGLE,51.94,360
Aatrox,TOP,Kayn,JUNGLE,51.35,111
Aatrox,TOP,Kindred,JUNGLE,51.2,125
Aatrox,TOP,Dr. Mundo,JUNGLE,50.75,134
Aatrox,TOP,Volibear,JUNGLE,50.47,212
Aatrox,TOP,Lee Sin,JUNGLE,50.4,752
Aatrox,TOP,Qiyana,JUNGLE,50.0,256
Ahri,MID,Rengar,JUNGLE,59.66,295
Ahri,MID,Karthus,JUNGLE,59.49,79
Ahri,MID,Briar,JUNGLE,58.82,85
Ahri,MID,Nocturne,JUNGLE,55.56,126
Ahri,MID,Kindred,JUNGLE,55.46,119
Ahri,MID,Master Yi,JUNGLE,55.45,211
Ahri,MID,Xin Zhao,JUNGLE,53.8,158
Ahri,MID,Qiyana,JUNGLE,53.57,280
Ahri,MID,Rek'Sai,JUNGLE,53.5,286
Ahri,MID,Naafiri,JUNGLE,53.21,109
Ahri,MID,Diana,JUNGLE,52.99,385
Ahri,MID,Fiddlesticks,JUNGLE,52.69,93
Ahri,MID,Graves,JUNGLE,52.47,223
Ahri,MID,Dr. Mundo,JUNGLE,51.8,139
Ahri,MID,Nidalee,JUNGLE,50.83,120
Ahri,MID,Kha'Zix,JUNGLE,50.7,574
Ahri,MID,Zed,JUNGLE,50.69,288
Ahri,MID,Jarvan IV,JUNGLE,50.49,408
Ahri,MID,Lee Sin,JUNGLE,50.24,834
Ahri,MID,Bel'Veth,JUNGLE,50.0,134
Ahri,MID,Elise,JUNGLE,50.0,90
Ahri,MID,Zac,JUNGLE,50.0,172
Akali,MID,Evelynn,JUNGLE,59.09,88
Akali,MID,Bel'Veth,JUNGLE,56.25,112
Akali,MID,Udyr,JUNGLE,56.25,96
Akali,MID,Fiddlesticks,JUNGLE,56.2,121
Akali,MID,Nidalee,JUNGLE,54.79,146
Akali,MID,Zac,JUNGLE,54.72,212
Akali,MID,Rengar,JUNGLE,53.09,388
Akali,MID,Ivern,JUNGLE,52.55,137
Akali,MID,Zed,JUNGLE,52.41,353
Akali,MID,Volibear,JUNGLE,52.38,231
Akali,MID,Kha'Zix,JUNGLE,52.17,667
Akali,MID,Jayce,JUNGLE,51.96,791
Akali,MID,Kindred,JUNGLE,51.52,165
Akali,MID,Qiyana,JUNGLE,51.44,418
Akali,MID,Master Yi,JUNGLE,51.2,250
Akali,MID,Kayn,JUNGLE,51.12,178
Akali,MID,Xin Zhao,JUNGLE,51.08,186
Akali,MID,Elise,JUNGLE,50.93,108
Akali,MID,Lee Sin,JUNGLE,50.73,1092
Akali,MID,Vi,JUNGLE,50.0,244
Akshan,MID,Fiddlesticks,JUNGLE,66.12,121
Akshan,MID,Rek'Sai,JUNGLE,61.17,103
Akshan,MID,Kindred,JUNGLE,58.97,39
Akshan,MID,Vi,JUNGLE,58.82,51
Akshan,MID,Nidalee,JUNGLE,58.41,214
Akshan,MID,Karthus,JUNGLE,57.68,241
Akshan,MID,Kayn,JUNGLE,57.58,66
Akshan,MID,Zac,JUNGLE,56.96,158
Akshan,MID,Zyra,JUNGLE,56.52,92
Akshan,MID,Evelynn,JUNGLE,55.64,133
Akshan,MID,Rengar,JUNGLE,55.33,150
Akshan,MID,Udyr,JUNGLE,55.26,76
Akshan,MID,Ekko,JUNGLE,55.21,518
Akshan,MID,Volibear,JUNGLE,55.21,163
Akshan,MID,Elise,JUNGLE,55.06,158
Akshan,MID,Lee Sin,JUNGLE,54.45,281
Akshan,MID,Xin Zhao,JUNGLE,53.7,54
Akshan,MID,Talon,JUNGLE,53.55,155
