patch,champion,role,winrate,pickrate,banrate
26.2,Rengar,TOP,54.94,0.60,17.70
26.2,Anivia,TOP,54.73,1.00,2.70
26.2,Sylas,TOP,53.57,1.30,13.40
26.2,Olaf,TOP,53.15,2.80,2.10
26.2,Kennen,TOP,53.02,4.30,3.80
26.2,Riven,TOP,52.68,5.20,9.60
26.2,Gangplank,TOP,52.31,5.00,4.60
26.2,Fiora,TOP,51.97,5.10,11.30
26.2,Varus,TOP,51.95,4.70,26.90
26.2,Zed,TOP,51.95,0.70,27.70
26.2,Quinn,TOP,51.94,1.00,1.00
26.2,Udyr,TOP,51.88,0.90,1.20
26.2,Rek'Sai,TOP,51.83,0.60,2.70
26.2,Kayle,TOP,51.78,2.70,4.10
26.2,Cassiopeia,TOP,51.66,1.40,2.20
26.2,Shen,TOP,51.45,3.70,0.40
26.2,Urgot,TOP,51.38,3.10,0.60
26.2,Gwen,TOP,51.31,4.00,14.50
26.2,Rumble,TOP,51.28,5.20,8.20
26.2,Yasuo,TOP,51.13,3.10,15.10
26.2,Poppy,TOP,51.11,1.20,6.30
26.2,Volibear,TOP,50.95,2.90,2.40
26.2,Jayce,TOP,50.87,4.30,29.00
26.2,Sejuani,TOP,50.74,0.60,0.10
26.2,Pantheon,TOP,50.69,1.60,0.80
26.2,Singed,TOP,50.58,3.00,1.40
26.2,Darius,TOP,50.57,4.40,7.80
26.2,Zaahen,TOP,50.55,6.00,5.50
26.2,Jax,TOP,50.47,7.10,17.50
26.2,Aurora,TOP,50.45,1.40,1.70
26.2,Tahm Kench,TOP,50.37,0.70,0.20
26.2,Warwick,TOP,50.37,1.20,0.50
26.2,Cho'Gath,TOP,50.32,2.00,0.40
26.2,Vayne,TOP,50.25,3.40,5.30
26.2,Gragas,TOP,50.21,2.50,0.60
26.2,Irelia,TOP,50.09,5.10,12.60
26.2,Akali,TOP,50.00,2.90,27.00
26.2,Gnar,TOP,49.93,4.30,1.20
26.2,Swain,TOP,49.76,1.00,1.00
26.2,Teemo,TOP,49.74,1.30,0.90
26.2,Ambessa,TOP,49.63,7.40,14.90
26.2,Naafiri,TOP,49.53,0.70,6.00
26.2,Kled,TOP,49.34,1.80,0.50
26.2,Aatrox,TOP,49.17,6.30,5.40
26.2,Vladimir,TOP,49.05,2.80,6.80
26.2,Wukong,TOP,48.95,0.60,0.60
26.2,Ornn,TOP,48.84,4.20,0.20
26.2,Illaoi,TOP,48.84,1.20,0.70
26.2,Tryndamere,TOP,48.84,1.80,1.60
26.2,Nasus,TOP,48.55,2.20,1.40
26.2,Mordekaiser,TOP,48.54,2.90,1.60
26.2,Renekton,TOP,48.51,6.60,5.60
26.2,K'Sante,TOP,48.45,6.00,2.80
26.2,Garen,TOP,48.41,2.90,0.70
26.2,Heimerdinger,TOP,48.38,0.70,0.60
26.2,Dr. Mundo,TOP,48.33,3.60,4.00
26.2,Camille,TOP,48.27,2.90,0.70
26.2,Trundle,TOP,48.25,0.50,0.30
26.2,Sion,TOP,47.89,4.70,0.90
26.2,Sett,TOP,47.86,2.60,0.60
26.2,Zac,TOP,47.81,0.80,2.20
26.2,Yorick,TOP,47.18,2.10,2.30
26.2,Malphite,TOP,47.14,6.10,25.50
26.2,Ryze,TOP,47.04,2.10,4.60
26.2,Yone,TOP,46.67,3.10,1.70
26.2,Rengar,JUNGLE,53.80,4.90,17.70
26.2,Zyra,JUNGLE,53.35,1.50,1.40
26.2,Karthus,JUNGLE,53.31,2.30,5.50
26.2,Rek'Sai,JUNGLE,53.14,4.50,2.70
26.2,Ivern,JUNGLE,53.07,2.20,1.10
26.2,Bel'Veth,JUNGLE,52.62,1.80,5.20
26.2,Nidalee,JUNGLE,52.59,3.30,3.00
26.2,Gragas,JUNGLE,52.55,0.60,0.60
26.2,Shaco,JUNGLE,52.54,3.20,7.10
26.2,Zac,JUNGLE,52.24,3.70,2.20
26.2,Qiyana,JUNGLE,51.94,5.10,18.90
26.2,Skarner,JUNGLE,51.52,0.70,0.10
26.2,Taliyah,JUNGLE,51.25,4.40,3.10
26.2,Kindred,JUNGLE,51.24,2.20,3.20
26.2,Rammus,JUNGLE,51.18,1.00,0.90
26.2,Master Yi,JUNGLE,51.12,3.60,7.10
26.2,Fiddlesticks,JUNGLE,50.98,2.00,1.70
26.2,Evelynn,JUNGLE,50.97,2.20,1.90
26.2,Lee Sin,JUNGLE,50.93,13.20,11.60
26.2,Diana,JUNGLE,50.89,10.00,22.90
26.2,Kha'Zix,JUNGLE,50.69,9.20,7.60
26.2,Volibear,JUNGLE,50.65,3.20,2.40
26.2,Talon,JUNGLE,50.63,5.40,15.90
26.2,Elise,JUNGLE,50.43,2.40,4.60
26.2,Ekko,JUNGLE,50.38,9.10,20.20
26.2,Aatrox,JUNGLE,50.24,2.40,5.40
26.2,Udyr,JUNGLE,50.03,1.40,1.20
26.2,Sejuani,JUNGLE,49.89,1.00,0.10
26.2,Nunu & Willump,JUNGLE,49.89,3.50,3.40
26.2,Graves,JUNGLE,49.76,4.00,2.60
26.2,Gwen,JUNGLE,49.70,3.60,14.50
26.2,Lillia,JUNGLE,49.61,1.80,0.90
26.2,Jarvan IV,JUNGLE,49.54,7.60,1.80
26.2,Zed,JUNGLE,49.46,4.40,27.70
26.2,Xin Zhao,JUNGLE,49.44,2.50,0.40
26.2,Dr. Mundo,JUNGLE,49.32,2.70,4.00
26.2,Warwick,JUNGLE,49.08,0.90,0.50
26.2,Nocturne,JUNGLE,49.01,2.10,0.70
26.2,Hecarim,JUNGLE,48.80,4.30,3.90
26.2,Pantheon,JUNGLE,48.73,0.80,0.80
26.2,Jayce,JUNGLE,48.64,9.70,29.00
26.2,Vi,JUNGLE,48.56,3.10,0.50
26.2,Sylas,JUNGLE,48.21,3.90,13.40
26.2,Wukong,JUNGLE,48.14,2.10,0.60
26.2,Naafiri,JUNGLE,47.81,1.90,6.00
26.2,Ambessa,JUNGLE,47.79,4.00,14.90
26.2,Jax,JUNGLE,47.73,1.50,17.50
26.2,Viego,JUNGLE,47.39,18.00,9.90
26.2,Briar,JUNGLE,47.32,1.40,0.80
26.2,Kayn,JUNGLE,46.55,2.20,1.40
26.2,Malphite,JUNGLE,45.49,2.20,25.50
26.2,Amumu,JUNGLE,44.94,0.70,0.30
26.2,Qiyana,MID,54.58,4.30,18.90
26.2,Quinn,MID,54.53,0.50,1.00
26.2,Zoe,MID,54.00,5.00,13.50
26.2,Singed,MID,53.83,0.50,1.40
