player_name,champion_name,role,games_played,wins,win_rate
113,Maokai,UNKNOWN,7,5,0.7142857142857143
113,Nidalee,UNKNOWN,5,2,0.4
113,Sejuani,UNKNOWN,7,2,0.2857142857142857
113,Xin Zhao,UNKNOWN,7,3,0.4285714285714285
1Jiang,Ambessa,UNKNOWN,9,1,0.1111111111111111
1Jiang,Gwen,UNKNOWN,5,3,0.6
1Jiang,K'Sante,UNKNOWN,6,2,0.3333333333333333
1Jiang,Rumble,UNKNOWN,12,3,0.25
1Jiang,Sion,UNKNOWN,8,3,0.375
1xn,Ashe,ADC,9,3,0.3333333333333333
1xn,Corki,ADC,3,3,1.0
1xn,Ezreal,ADC,12,5,0.4166666666666667
1xn,Jhin,ADC,1,1,1.0
1xn,Jinx,ADC,5,4,0.8
1xn,Kai'Sa,ADC,10,2,0.2
1xn,Lucian,ADC,6,1,0.1666666666666666
1xn,Miss Fortune,ADC,12,3,0.25
1xn,Varus,ADC,13,5,0.38461538461538464
1xn,Xayah,ADC,6,2,0.3333333333333333
1xn,Yunara,ADC,1,1,1.0
1xn,Ziggs,ADC,1,0,0.0
369,Aatrox,TOP,13,11,0.8461538461538461
369,Ambessa,TOP,15,10,0.6666666666666666
369,Gnar,TOP,14,13,0.9285714285714286
369,Gragas,TOP,6,5,0.8333333333333334
369,Gwen,TOP,5,5,1.0
369,Jayce,TOP,19,14,0.7368421052631579
369,K'Sante,TOP,12,10,0.8333333333333334
369,Kennen,TOP,1,1,1.0
369,Mordekaiser,TOP,1,0,0.0
369,Ornn,TOP,13,10,0.7692307692307693
369,Poppy,TOP,4,3,0.75
369,Renekton,TOP,15,11,0.7333333333333333
369,Rumble,TOP,20,16,0.8
369,Sion,TOP,15,11,0.7333333333333333
369,Yone,TOP,1,0,0.0
369,Yorick,TOP,2,0,0.0
APA,Annie,MID,5,1,0.2
APA,Aurora,MID,1,1,1.0
APA,Azir,MID,11,7,0.6363636363636364
APA,Taliyah,MID,14,10,0.7142857142857143
APA,Ziggs,MID,10,5,0.5
Abbedagge,Azir,UNKNOWN,5,0,0.0
Abbedagge,Ryze,UNKNOWN,6,0,0.0
Abbedagge,Taliyah,UNKNOWN,7,1,0.1428571428571428
About,Aphelios,ADC,1,0,0.0
About,Corki,ADC,2,1,0.5
About,Ezreal,ADC,2,2,1.0
About,Mel,ADC,1,0,0.0
About,Sivir,ADC,2,2,1.0
About,Varus,ADC,3,3,1.0
About,Yunara,ADC,1,0,0.0
