player_name,opponent_team_name,champion_name,games_played,wins,win_rate
Zeus,GEN,Ambessa,6,0,0.0
Cuzz,GEN,Trundle,6,1,0.16666666666666666
Xiaohu,JDG,Taliyah,6,3,0.5
Duro,T1,Rakan,6,5,0.8333333333333334
Canyon,HLE,Xin Zhao,6,6,1.0
Oner,GEN,Xin Zhao,6,2,0.3333333333333333
Peanut,T1,Xin Zhao,6,3,0.5
Pollu,DK,Rell,6,3,0.5
Ruler,HLE,Corki,6,4,0.6666666666666666
Crisp,FPX,Alistar,5,5,1.0
Contractz,100T,Xin Zhao,5,3,0.6
Duro,HLE,Rakan,5,4,0.8
Zeka,GEN,Ahri,5,2,0.4
Light,JDG,Kai'Sa,5,2,0.4
Meiko,JDG,Alistar,5,5,1.0
Faker,GEN,Ryze,5,1,0.2
Keria,KT,Rakan,5,4,0.8
Creme,AL,Aurora,5,3,0.6
Doran,GEN,Rumble,5,2,0.4
Clear,DK,Rumble,5,1,0.2
Delight,GEN,Alistar,5,1,0.2
Chovy,T1,Galio,5,5,1.0
Kellin,DK,Braum,5,2,0.4
Delight,GEN,Braum,5,1,0.2
Kellin,DK,Neeko,5,1,0.2
Kiin,T1,K'Sante,5,3,0.6
Meiko,TES,Braum,5,2,0.4
Creme,NIP,Azir,5,5,1.0
Morgan,DRX,Rumble,5,2,0.4
Canyon,KT,Xin Zhao,5,4,0.8
Canyon,HLE,Vi,5,3,0.6
Canyon,HLE,Wukong,5,4,0.8
Elk,IG,Varus,5,3,0.6
ON,KT,Sejuani,5,2,0.4
Cube,AL,Rumble,5,1,0.2
Peanut,GEN,Sejuani,5,2,0.4
Clear,BRO,Rumble,5,5,1.0
Peter,NS,Alistar,5,5,1.0
Delight,GEN,Rell,5,1,0.2
Raptor,DK,Xin Zhao,5,2,0.4
Rich,BFX,Ambessa,5,3,0.6
Tian,WE,Xin Zhao,5,3,0.6
Rich,DK,Rumble,5,0,0.0
Breathe,JDG,Yorick,5,3,0.6
Tian,JDG,Xin Zhao,5,2,0.4
Rookie,BLG,Annie,5,2,0.4
Kanavi,IG,Xin Zhao,5,3,0.6
Bin,WBG,Rumble,5,3,0.6
Tatu,Pain,Wukong,5,1,0.2
Sponge,DNF,Xin Zhao,5,4,0.8
DuDu,DRX,Rumble,5,1,0.2
