team_name,champion_name,bans_against,total_games,ban_rate
AL,Jarvan IV,10,21,0.47619047619047616
AL,Malphite,9,21,0.42857142857142855
AL,Jayce,9,21,0.42857142857142855
AL,Neeko,8,21,0.38095238095238093
AL,Poppy,7,21,0.3333333333333333
AL,Bard,6,21,0.2857142857142857
AL,Rumble,5,21,0.23809523809523808
AL,Cassiopeia,5,21,0.23809523809523808
AL,Sylas,4,21,0.19047619047619047
AL,Orianna,4,21,0.19047619047619047
AL,Sion,3,21,0.14285714285714285
AL,Varus,3,21,0.14285714285714285
AL,Wukong,2,21,0.09523809523809523
AL,Ambessa,2,21,0.09523809523809523
AL,K'Sante,2,21,0.09523809523809523
AL,Rakan,2,21,0.09523809523809523
AL,Xin Zhao,2,21,0.09523809523809523
AL,Pantheon,2,21,0.09523809523809523
AL,Rek'Sai,2,21,0.09523809523809523
AL,Yunara,2,21,0.09523809523809523
AL,Nautilus,1,21,0.047619047619047616
AL,Vi,1,21,0.047619047619047616
AL,Kai'Sa,1,21,0.047619047619047616
AL,Corki,1,21,0.047619047619047616
AL,Lulu,1,21,0.047619047619047616
AL,Aphelios,1,21,0.047619047619047616
AL,Miss Fortune,1,21,0.047619047619047616
AL,Leona,1,21,0.047619047619047616
AL,Sivir,1,21,0.047619047619047616
AL,Jinx,1,21,0.047619047619047616
AL,Gwen,1,21,0.047619047619047616
AL,Alistar,1,21,0.047619047619047616
AL,Nami,1,21,0.047619047619047616
AL,Trundle,1,21,0.047619047619047616
AL,Jhin,1,21,0.047619047619047616
AL,Anivia,1,21,0.047619047619047616
BFX,Rumble,5,14,0.35714285714285715
BFX,Neeko,5,14,0.35714285714285715
BFX,Malphite,5,14,0.35714285714285715
BFX,Pantheon,5,14,0.35714285714285715
BFX,Ambessa,4,14,0.2857142857142857
BFX,Jayce,4,14,0.2857142857142857
BFX,Akali,4,14,0.2857142857142857
BFX,Varus,3,14,0.21428571428571427
BFX,Vi,2,14,0.14285714285714285
BFX,Azir,2,14,0.14285714285714285
BFX,LeBlanc,2,14,0.14285714285714285
BFX,Sion,2,14,0.14285714285714285
BFX,Bard,2,14,0.14285714285714285
BFX,Yunara,2,14,0.14285714285714285
BFX,Leona,2,14,0.14285714285714285
BFX,Ezreal,2,14,0.14285714285714285
BFX,Gwen,2,14,0.14285714285714285
BFX,Sylas,1,14,0.07142857142857142
BFX,Dr. Mundo,1,14,0.07142857142857142
BFX,Gnar,1,14,0.07142857142857142
BFX,Lucian,1,14,0.07142857142857142
BFX,Jarvan IV,1,14,0.07142857142857142
BFX,Cassiopeia,1,14,0.07142857142857142
BFX,Syndra,1,14,0.07142857142857142
BFX,Kalista,1,14,0.07142857142857142
BFX,Aphelios,1,14,0.07142857142857142
BFX,Taliyah,1,14,0.07142857142857142
BFX,Jax,1,14,0.07142857142857142
BFX,Aurora,1,14,0.07142857142857142
BFX,Rek'Sai,1,14,0.07142857142857142
BFX,Nautilus,1,14,0.07142857142857142
BFX,Nocturne,1,14,0.07142857142857142
BFX,Karma,1,14,0.07142857142857142
BFX,Alistar,1,14,0.07142857142857142
BLG,Jayce,11,20,0.55
BLG,Karma,6,20,0.3
BLG,Poppy,5,20,0.25
BLG,Orianna,5,20,0.25
BLG,Akali,5,20,0.25
BLG,Neeko,5,20,0.25
BLG,Malphite,4,20,0.2
BLG,Yunara,4,20,0.2
BLG,Renekton,3,20,0.15
BLG,Ambessa,3,20,0.15
BLG,Pantheon,3,20,0.15
BLG,Varus,3,20,0.15
BLG,Rumble,2,20,0.1
BLG,Lucian,2,20,0.1
BLG,Sivir,2,20,0.1
BLG,Wukong,2,20,0.1
BLG,Sion,2,20,0.1
BLG,Alistar,2,20,0.1
BLG,Aphelios,2,20,0.1
BLG,Bard,2,20,0.1
BLG,Azir,2,20,0.1
BLG,Nocturne,2,20,0.1
BLG,Gwen,2,20,0.1
BLG,Ezreal,2,20,0.1
BLG,Ashe,2,20,0.1
BLG,Jarvan IV,2,20,0.1
BLG,Syndra,1,20,0.05
BLG,Kai'Sa,1,20,0.05
BLG,Xayah,1,20,0.05
BLG,Vi,1,20,0.05
BLG,Ryze,1,20,0.05
BLG,Gnar,1,20,0.05
BLG,Braum,1,20,0.05
BLG,Renata Glasc,1,20,0.05
BLG,Sylas,1,20,0.05
